"HMP ID","GOLD ID","Organism Name","Domain","NCBI Superkingdom","HMP Isolation Body Site","Project Status","Current Finishing Level","NCBI Submission Status","NCBI Project ID","Genbank ID","Gene Count","IMG/HMP ID","HOMD ID","Sequencing Center","Funding Source","Strain Repository ID","",
"161","Gi02653","Bifidobacterium bifidum ATCC 29521 = JCM 1255","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","28655","AWSW00000000","2109","0","","Washington University Genome Sequencing Center","NIH-HMP NHGRI","DSM 20456, ATCC 29521, JCM 1255",
"201","Gi02671","Cedecea davisae DSM 4568","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","30753","ATDT00000000","4805","0","","Washington University Genome Sequencing Center","NIH-HMP Sequencing Center","DSM 4568",
"239","Gi02691","Clostridium sp. ATCC BAA-442","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38735","AWSS00000000","5243","0","","Washington University Genome Sequencing Center","NIH-HMP Jumpstart Supplement","ATCC BAA-442",
"262","Gi04637","Clostridium sp. ATCC 29733","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","181040","AWTA00000000","3692","0","","Washington University Genome Sequencing Center","NIH-HMP Jumpstart Supplement","ATCC 29733",
"266","Gi01717","Clostridium symbiosum ATCC 14940","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","18183","AWSU00000000","4978","0","","Washington University Genome Sequencing Center","NIH-HMP NHGRI","ATCC 14940",
"367","Gi02737","Eubacterium cylindroides ATCC 27803","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38321","AWVI00000000","2057","0","","Washington University Genome Sequencing Center","NIH-HMP Jumpstart Supplement","DSM 3983, ATCC 27803, JCM 10261",
"369","Gi02738","Anaerostipes hadrus DSM 3319","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38323","AMEY00000000","2791","0","","Washington University Genome Sequencing Center","NIH-HMP Sequencing Center","DSM 3319, ATCC 29173",
"373","Gi02740","Eubacterium ramulus ATCC 29099","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","181041","AWVJ00000000","3461","0","","Washington University Genome Sequencing Center","NIH-HMP Jumpstart Supplement","DSM 3995, DSM 15684, ATCC 29099",
"495","Gi02786","Lactobacillus brevis ATCC 14869","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","38325","AWVK00000000","2630","0","HOMD: tax_558","Washington University Genome Sequencing Center","NIH-HMP Jumpstart Supplement","DSM 20054, ATCC 14869, NCDO 1749",
"745","Gi01731","Ruminococcus callidus ATCC 27760","BACTERIAL","","gastrointestinal_tract","Complete","Level 2: High-Quality Draft","6. annotation (and sequence) public on NCBI site","18185","AWVF00000000","3475","0","","Washington University Genome Sequencing Center","NIH-HMP NHGRI","ATCC 27760",
